,Punto,Cluster,Latitud,Longitud
47588,2.2217E+16,4,6.17734834,-75.57616551
48036,2.2217E+16,4,6.17734834,-75.57616551
48057,2.2217E+16,1,6.17734834,-75.57616551
48225,2.2217E+16,4,6.17734834,-75.57616551
48645,2.2217E+16,1,6.17734834,-75.57616551
49233,2.2217E+16,4,6.17734834,-75.57616551
49255,2.2217E+16,1,6.17734834,-75.57616551
50553,2.2217E+16,4,6.17734834,-75.57616551
50565,2.2217E+16,4,6.17734834,-75.57616551
50588,2.2217E+16,1,6.17734834,-75.57616551
50933,2.2217E+16,4,6.17734834,-75.57616551
50953,2.2217E+16,1,6.17734834,-75.57616551
51233,2.2217E+16,4,6.17734834,-75.57616551
51245,2.2217E+16,1,6.17734834,-75.57616551
51389,2.2217E+16,1,6.17734834,-75.57616551
51410,2.2217E+16,4,6.17734834,-75.57616551
52166,2.2217E+16,4,6.17734834,-75.57616551
52271,2.2217E+16,1,6.17734834,-75.57616551
52943,2.2217E+16,1,6.17734834,-75.57616551
52956,2.2217E+16,4,6.17734834,-75.57616551
52969,2.2217E+16,4,6.17734834,-75.57616551
52985,2.2217E+16,4,6.17734834,-75.57616551
53011,2.2217E+16,1,6.17734834,-75.57616551
53024,2.2217E+16,4,6.17734834,-75.57616551
53108,2.2217E+16,1,6.17734834,-75.57616551
54242,2.2217E+16,1,6.17734834,-75.57616551
54314,2.2217E+16,4,6.17734834,-75.57616551
54350,2.2217E+16,3,6.17752307,-75.57633153
54356,2.2217E+16,4,6.17752307,-75.57633153
54362,2.2217E+16,1,6.17752307,-75.57633153
54368,2.2217E+16,4,6.17752307,-75.57633153
54452,2.2217E+16,1,6.17752307,-75.57633153
54662,2.2217E+16,1,6.17752307,-75.57633153
54682,2.2217E+16,4,6.17752307,-75.57633153
55022,2.2217E+16,1,6.17752307,-75.57633153
55034,2.2217E+16,4,6.17752307,-75.57633153
55046,2.2217E+16,4,6.17752307,-75.57633153
55065,2.2217E+16,1,6.17752307,-75.57633153
55141,2.2217E+16,1,6.17752307,-75.57633153
55180,2.2217E+16,4,6.17752307,-75.57633153
55284,2.2217E+16,1,6.17752307,-75.57633153
55347,2.2217E+16,4,6.17752307,-75.57633153
55515,2.2217E+16,1,6.17752307,-75.57633153
55516,2.2217E+16,1,6.177342,-75.57647
55572,2.2217E+16,4,6.17752307,-75.57633153
55573,2.2217E+16,4,6.177342,-75.57647
55743,2.2217E+16,3,6.17752307,-75.57633153
55744,2.2217E+16,3,6.177342,-75.57647
56788,2.2217E+16,4,6.17752307,-75.57633153
56812,2.2217E+16,1,6.17752307,-75.57633153
56832,2.2217E+16,4,6.17752307,-75.57633153
57312,2.2217E+16,1,6.17752307,-75.57633153
57372,2.2217E+16,4,6.17752307,-75.57633153
57412,2.2217E+16,1,6.17752307,-75.57633153
58192,2.2217E+16,1,6.17752307,-75.57633153
58213,2.2217E+16,4,6.17752307,-75.57633153
58339,2.2217E+16,1,6.17752307,-75.57633153
58351,2.2217E+16,4,6.17752307,-75.57633153
58411,2.2217E+16,4,6.17752307,-75.57633153
58451,2.2217E+16,1,6.17752307,-75.57633153
59591,2.2217E+16,4,6.17752307,-75.57633153
59613,2.2217E+16,1,6.17752307,-75.57633153
59701,2.2217E+16,4,6.17752307,-75.57633153
59713,2.2217E+16,4,6.17752307,-75.57633153
59881,2.2217E+16,1,6.17752307,-75.57633153
60784,2.2217E+16,1,6.17752307,-75.57633153
60817,2.2217E+16,4,6.17752307,-75.57633153
60839,2.2217E+16,1,6.17752307,-75.57633153
